month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
12,1003.633333333,0.0001992759639975,2010,0,0.025118864315095794,DD
1,1008.4,6.611133148222e-05,2011,0,0.025118864315095794,DD
2,1009.2,0.0,2011,0,0.025118864315095794,DD
3,1004.4,0.0,2011,0,0.025118864315095794,DD
4,1004.466666667,0.0,2011,0,0.025118864315095794,DD
5,1004.533333333,0.0,2011,0,0.025118864315095794,DD
6,1003.566666667,0.0,2011,0,0.025118864315095794,DD
7,1009.866666667,0.0,2011,0,0.025118864315095794,DD
8,1012.566666667,0.0,2011,0,0.025118864315095794,DD
9,1006.933333333,0.0,2011,0,0.025118864315095794,DD
10,1007.4,0.0,2011,0,0.025118864315095794,DD
11,1013.033333333,0.0,2011,0,0.025118864315095794,DD
12,1014.966666667,0.0,2011,0,0.025118864315095794,DD
1,1014.133333333,0.0,2012,0,0.025118864315095794,DD
2,1012.233333333,0.0,2012,0,0.025118864315095794,DD
3,1008.733333333,0.0,2012,0,0.025118864315095794,DD
4,1007.0,0.0,2012,0,0.025118864315095794,DD
5,1006.6,0.0,2012,0,0.025118864315095794,DD
6,1003.266666667,0.0,2012,0,0.025118864315095794,DD
7,992.9333333333,0.0,2012,0,0.025118864315095794,DD
8,1001.1,0.0,2012,0,0.025118864315095794,DD
9,1006.266666667,0.0,2012,0,0.025118864315095794,DD
10,1002.166666667,0.0,2012,0,0.025118864315095794,DD
11,995.8333333333,0.0,2012,0,0.025118864315095794,DD
12,991.3,0.0,2012,0,0.025118864315095794,DD
1,992.3,0.0,2013,0,0.025118864315095794,DD
2,995.2666666667,0.0,2013,0,0.025118864315095794,DD
3,990.5,0.0,2013,0,0.025118864315095794,DD
4,988.6333333333,0.0,2013,0,0.025118864315095794,DD
5,982.0333333333,0.0,2013,0,0.025118864315095794,DD
6,986.3333333333,0.0,2013,0,0.025118864315095794,DD
7,990.7,0.0,2013,0,0.025118864315095794,DD
8,994.9666666667,0.0,2013,0,0.025118864315095794,DD
9,993.4333333333,0.0,2013,0,0.025118864315095794,DD
10,993.2,0.0,2013,0,0.025118864315095794,DD
11,995.7333333333,0.0,2013,0,0.025118864315095794,DD
12,1001.1,0.0,2013,0,0.025118864315095794,DD
1,1004.9,0.0,2014,0,0.025118864315095794,DD
2,1009.5,0.0,2014,0,0.025118864315095794,DD
